Fullname: Hlxwguebsc Nmlpvkaf, Faculty: Graduate School of Business, Group: Group288, Avg Grade: 0
Fullname: Zfwircq Smgcdqryfi, Faculty: Faculty of Geography and Geo-information Technology, Group: Group244, Avg Grade: 0
Fullname: Muricos Ivszaoyg, Faculty: Faculty of Computer Science, Group: Group215, Avg Grade: 0
Fullname: Pohnslcxtb Dvaicjbgy, Faculty: Faculty of Creative Industries, Group: Group244, Avg Grade: 0
Fullname: Ihscxedvby Bprvmk, Faculty: Faculty of Law, Group: Group217, Avg Grade: 0
Fullname: Utplbw Gmfjb, Faculty: Graduate School of Business, Group: Group215, Avg Grade: 0
Fullname: Urhjit Armlh, Faculty: Faculty of Humanities, Group: Group288, Avg Grade: 0
Fullname: Wvluhdj Qyowzjban, Faculty: Faculty of World Economy and World Politics, Group: Group215, Avg Grade: 0
Fullname: Uevizodq Gckwvi, Faculty: School of Foreign Languages, Group: Group218, Avg Grade: 0
Fullname: Vocdlqgua Izafbh, Faculty: Faculty of Urban and Regional Development, Group: Group218, Avg Grade: 0
Fullname: Zyxnbvol Hugrcwtb, Faculty: Faculty of World Economy and World Politics, Group: Group217, Avg Grade: 0
Fullname: Yxjtq Idozmtev, Faculty: Faculty of Physics, Group: Group212, Avg Grade: 0
Fullname: Ijlykgncqe Gwvfb, Faculty: Faculty of Urban and Regional Development, Group: Group288, Avg Grade: 0
Fullname: Njcdwvam Azbkrpxi, Faculty: Faculty of Law, Group: Group212, Avg Grade: 1
Fullname: Mzsdu Ubdlrzc, Faculty: Faculty of Mathematics, Group: Group221, Avg Grade: 1
Fullname: Nzxosmlc Bxzrletgna, Faculty: Lyceum of HSE, Group: Group221, Avg Grade: 1
Fullname: Wdxnkig Ojybq, Faculty: Faculty of Economic Sciences, Group: Group219, Avg Grade: 1
Fullname: Rlnhy Cxnteuyvjd, Faculty: Faculty of Urban and Regional Development, Group: Group215, Avg Grade: 1
Fullname: Oqbnc Rdxpc, Faculty: Faculty of Social Sciences, Group: Group219, Avg Grade: 1
Fullname: Qzntjlpuo Vqdjtkwxf, Faculty: Faculty of Humanities, Group: Group212, Avg Grade: 1
Fullname: Hlsrkbfop Wqimbsaglt, Faculty: Lyceum of HSE, Group: Group213, Avg Grade: 1
Fullname: Mycogenwbt Jqsog, Faculty: Higher School of Jurisprudence and Administration, Group: Group218, Avg Grade: 2
Fullname: Ulkrscm Nytcz, Faculty: Faculty of Chemistry, Group: Group233, Avg Grade: 2
Fullname: Zewra Xbdzci, Faculty: International Institute of Economics and Finance, Group: Group221, Avg Grade: 2
Fullname: Lxozjr Eiowfhcb, Faculty: Faculty of Biology and Biotechnology, Group: Group212, Avg Grade: 2
Fullname: Gvrbmflxs Logdsuj, Faculty: Faculty of Geography and Geo-information Technology, Group: Group219, Avg Grade: 2
Fullname: Uiarvf Higjm, Faculty: Faculty of Creative Industries, Group: Group212, Avg Grade: 2
Fullname: Fsljmnik Dfxeosjzk, Faculty: Graduate School of Business, Group: Group288, Avg Grade: 2
Fullname: Btrycoix Pfngdz, Faculty: Faculty of Biology and Biotechnology, Group: Group212, Avg Grade: 2
Fullname: Songrhfzc Hwxfpok, Faculty: Pre-university training faculty, Group: Group219, Avg Grade: 2
Fullname: Dkcjieowg Qmyslzxneo, Faculty: School of Foreign Languages, Group: Group212, Avg Grade: 2
Fullname: Xocgkvupb Okxthf, Faculty: Faculty of Geography and Geo-information Technology, Group: Group218, Avg Grade: 2
Fullname: Gnbdkqjzeh Dqzot, Faculty: Faculty of Physics, Group: Group213, Avg Grade: 3
Fullname: Jvqazd Vqzstwfimr, Faculty: Faculty of Humanities, Group: Group217, Avg Grade: 3
Fullname: Uqdjscgvol Inkghzudex, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group218, Avg Grade: 3
Fullname: Yaqdc Behijz, Faculty: Faculty of Law, Group: Group217, Avg Grade: 3
Fullname: Ebzkq Nvpwjs, Faculty: Higher School of Jurisprudence and Administration, Group: Group218, Avg Grade: 3
Fullname: Jehzuwi Pjhzqru, Faculty: Pre-university training faculty, Group: Group217, Avg Grade: 3
Fullname: Lryniuwe Aqltmsknr, Faculty: Graduate School of Business, Group: Group215, Avg Grade: 4
Fullname: Osvkx Ekywtmifx, Faculty: Faculty of Physics, Group: Group217, Avg Grade: 4
Fullname: Gkrujvqpt Kmgov, Faculty: School of Foreign Languages, Group: Group215, Avg Grade: 4
Fullname: Lxacowk Dgialqtrv, Faculty: Faculty of Mathematics, Group: Group218, Avg Grade: 4
Fullname: Daoks Ivobwj, Faculty: School of Foreign Languages, Group: Group233, Avg Grade: 4
Fullname: Nfmckv Myltxvs, Faculty: Higher School of Jurisprudence and Administration, Group: Group218, Avg Grade: 4
Fullname: Lgyndhrza Soltp, Faculty: Faculty of Physics, Group: Group215, Avg Grade: 4
Fullname: Nbqozi Mhygfb, Faculty: Lyceum of HSE, Group: Group217, Avg Grade: 4
Fullname: Rjefockmz Drpiwh, Faculty: Moscow Institute of Electronics and Mathematics named after Tikhonov, Group: Group288, Avg Grade: 4
Fullname: Zevdtrwy Ciaofwqrp, Faculty: Faculty of Chemistry, Group: Group213, Avg Grade: 4
Fullname: Nkzvul Cxdwiz, Faculty: Faculty of Humanities, Group: Group213, Avg Grade: 4
Fullname: Whyfc Qbdzuev, Faculty: Faculty of Law, Group: Group212, Avg Grade: 4
Fullname: Lieduogcnf Lpetxqc, Faculty: Faculty of Computer Science, Group: Group244, Avg Grade: 5
Fullname: Xbdrlz Vskjxflwco, Faculty: Lyceum of HSE, Group: Group288, Avg Grade: 5
Fullname: Qgmcdozn Ytowsvk, Faculty: Faculty of Geography and Geo-information Technology, Group: Group233, Avg Grade: 5
Fullname: Nkmbwop Petrc, Faculty: Faculty of Computer Science, Group: Group219, Avg Grade: 5
